f.name,id,,f.size,AnimalID,LabID,Location,Broad,Use for vcf,Sex,Haplotype,cov.mean,X
z0098734_Pcra_RunH106L6_n0002011.fastq.gz.bam,z0098734,,"14,303,027.00",98734,98734,HIBigI,MHI,,M,1,150.1052953,
z0116592_Pcra_RunH119L8nuc_n0002423.fastq.gz.bam,z0116592,,"13,766,667.00",116592,116592,HIK,MHI,,F,1,48.1556857,
z0102485_Pcra_RunH106L6_n0002042.fastq.gz.bam,z0102485,,"10,266,197.00",102485,102485,HIO,MHI,,M,1,190.0293436,
z0098738_Pcra_RunH106L6_n0002019.fastq.gz.bam,z0098738,,"10,016,853.00",98738,98738,HIBigI,MHI,,M,2,174.9502196,
z0108133_Pcra_RunH106L6_n0002043.fastq.gz.bam,z0108133,,"1,875,215.00",108133,108133,HIK,MHI,,M,1,NA,
z0075663_Pcra_RunH119L8nuc_n0002395.fastq.gz.bam,z0075663,,"1,173,243.00",75663,75663,HIBigI,MHI,,M,2,10.52263299,
z0049052_Pcra_RunH119L8nuc_n0002393.fastq.gz.bam,z0049052,,"113,305.00",49052,49052,HIBigI,MHI,,M,5,NA,
z0132632_Pcra_RunH119L8nuc_n0002400.fastq.gz.bam,z0132632,,"74,398.00",132632,132632,HIBigI,MHI,,F,1,NA,
z0102434_Pcra_RunH119L8nuc_n0002365.fastq.gz.bam,z0102434,0,"122,630,481.00",102434,102434,NWHI,NWHI,,M,1,39.58388238,
z0102221_Pcra_RunH106L6_n0002038.fastq.gz.bam,z0102221,0,"107,887,556.00",102221,102221,NWHI,NWHI,,M,1,NA,
z0102227_Pcra_RunH119L8nuc_n0002378.fastq.gz.bam,z0102227,0,"106,197,542.00",102227,102227,NWHI,NWHI,,M,1,15.11639824,
z0102225_Pcra_RunH119L8nuc_n0002376.fastq.gz.bam,z0102225,0,"95,579,345.00",102225,102225,NWHI,NWHI,,M,1,169.1371401,
z0102437_Pcra_RunH119L8nuc_n0002367.fastq.gz.bam,z0102437,0,"93,656,919.00",102437,102437,NWHI,NWHI,,M,1,195.6498292,xl
z0102225_Pcra_RunH106L6_n0002039.fastq.gz.bam,z0102225,0,"89,914,793.00",102225,102225,NWHI,NWHI,,M,1,169.1371401,
z0102433_Pcra_RunH106L6_n0002025.fastq.gz.bam,z0102433,0,"89,134,028.00",102433,102433,NWHI,NWHI,,F,1,49.28947047,
z0102433_Pcra_RunH119L8nuc_n0002364.fastq.gz.bam,z0102433,0,"86,028,170.00",102433,102433,NWHI,NWHI,,F,1,49.28947047,
z0102219_Pcra_RunH119L8nuc_n0002375.fastq.gz.bam,z0102219,0,"69,513,990.00",102219,102219,NWHI,NWHI,,F,1,176.5300146,
z0102226_Pcra_RunH106L6_n0002040.fastq.gz.bam,z0102226,0,"62,944,515.00",102226,102226,NWHI,NWHI,,F,1,24.94344802,
z0102435_Pcra_RunH119L8nuc_n0002366.fastq.gz.bam,z0102435,0,"62,799,927.00",102435,102435,NWHI,NWHI,,M,1,194.5384334,
